departamento,cultivo,n_periodos,anio_inicio,anio_fin,duracion_anios,gaps,completitud_pct,produccion_total,produccion_promedio,area_sembrada_promedio,area_cosechada_promedio,rendimiento_promedio,cv_produccion,std_produccion,cv_area_sembrada,cv_rendimiento,tendencia_produccion_pendiente,tendencia_produccion_r2,tendencia_produccion_pvalue,tendencia_area_pendiente,tendencia_area_r2,mk_tau_produccion,mk_pvalue_produccion,mk_tau_area,mk_pvalue_area,n_periodos_A,n_periodos_B,n_ciclos_completos,produccion_promedio_A,produccion_promedio_B,ratio_AB,diferencia_AB,porcentaje_A_mayor_B,hhi_tiempo_produccion,hhi_espacial_cultivo
meta,frijol,32,2007,2024,18,4,88.88888888888889,24932.56,779.1425,700.7859375,659.9265625,1.1444118865648611,1.0087434937141169,785.9549275511514,0.8372609740896423,0.37592835104167377,42.78128254923693,0.07343776224603851,0.1335582910699057,12.770067411617575,0.011740890625801699,0.1392533504127388,0.2631049790414154,0.13737401770055682,0.2700232946524249,15,17,14,291.01666666666665,1209.8417647058825,0.24054109814717298,-918.8250980392158,21.428571428571427,0.06205514308537836,0.09998560464958732
huila,pepino cohombro,35,2007,2024,18,1,97.22222222222221,24855.39,710.154,63.254571428571424,60.10457142857144,11.808671387882795,0.6705044751673236,476.1614350579755,0.6361312320388757,0.16672687635491565,78.18898803434016,0.7640867541557476,6.9900538110275885e-12,6.403949705677389,0.7177587174352167,0.7310924369747899,6.507389884072058e-10,0.7312576008872154,7.035545126083863e-10,18,17,17,675.55,746.7935294117647,0.9046007676741898,-71.24352941176471,52.94117647058824,0.04104946329915092,0.15017408413556602
narino,ulluco,35,2007,2024,18,1,97.22222222222221,24022.200000000004,686.3485714285715,143.74380952380955,135.55238095238096,5.701434664523336,0.5689532713828114,390.500265023205,0.6469959751875213,0.34399526423622706,10.42823717806148,0.02020873168005273,0.41528949179052077,-2.3691200964765318,0.018388767332025963,0.1899159663865546,0.10854623090377957,-0.04201680672268907,0.7225627705707576,18,17,17,725.4666666666667,644.9294117647058,1.1248776275865424,80.53725490196086,64.70588235294117,0.037555972286191744,0.5608108454732106
cordoba,frijol,35,2007,2024,18,1,97.22222222222221,23509.559999999998,671.7017142857143,667.24,575.417142857143,1.0705010975243536,0.9882879791152758,663.834729779695,0.8388301265603064,0.3204028212760096,56.55804427442435,0.20569737577926941,0.006212731504202625,52.011723974319075,0.24470916469332143,0.28403361344537814,0.016393190067244108,0.24369747899159663,0.03947435091450274,18,17,17,373.48777777777775,987.4576470588237,0.3782316931670172,-613.9698692810459,11.76470588235294,0.0556802011498512,0.09998560464958732
antioquia,cilantro,35,2007,2024,18,1,97.22222222222221,23168.940000000002,661.9697142857143,102.646,98.33428571428571,6.54879329477133,0.4588939136528872,303.773872908255,0.38399966922730383,0.11460671068854036,53.87668505256293,0.891375760039425,1.8015838523586405e-17,6.5958717732010745,0.7935212674751151,0.8097654572748118,8.358315862389036e-12,0.668351115463826,1.7093535446776274e-08,18,17,17,671.1672222222221,652.2311764705883,1.0290327209657506,18.936045751633856,58.82352941176471,0.034416198543331056,0.18391479166505917
bolivar,sorgo,35,2007,2024,18,1,97.22222222222221,23143.5,661.2428571428571,464.14285714285717,402.74285714285713,1.195373133474608,1.7839266779353466,1179.6087734513342,1.473033076502206,0.48721928288970046,-140.59727473570277,0.4025666008151462,4.254904922838116e-05,-84.7060480702223,0.43497112070782584,-0.5000179555779061,2.7279132844707434e-05,-0.4551632686715572,0.00014958656535920192,18,17,17,361.94444444444446,978.1470588235294,0.37003070364467966,-616.2026143790849,0.0,0.11689910966243353,0.20991452471081812
boyaca,repollo,35,2007,2024,18,1,97.22222222222221,22828.4,652.24,38.48571428571429,34.04571428571428,19.47479883432097,0.6627742696553539,432.2878896400081,0.728159849719144,0.37164736579759367,21.421403259048386,0.06958403661134681,0.1257252281710401,-0.04583870824251584,7.581796167419574e-05,0.2605042016806723,0.02772031386394524,0.1055405151954703,0.3776791307436542,18,17,17,762.3277777777778,535.6764705882352,1.423112306838217,226.65130718954254,76.47058823529412,0.0407634048208852,0.32064196932695327
quindio,ahuyama,34,2007,2024,18,2,94.44444444444444,22371.760000000002,657.9929411764706,44.33235294117647,43.85882352941176,14.094082285308241,0.792721651871124,521.605251248951,0.6324430399481492,0.33908710321408536,-71.37184639824036,0.5462307882612892,5.978364385463034e-07,-2.948759699395125,0.32270120474828695,-0.5828877005347595,1.2496847432445087e-06,-0.41964352621789025,0.0004930389728456578,18,16,16,713.4255555555557,595.6312499999999,1.1977638103366064,117.79430555555575,62.5,0.04735073648130998,0.0821380302774234
antioquia,coliflor,35,2007,2024,18,1,97.22222222222221,22268.0,636.2285714285714,30.45,28.63142857142857,22.438934029883626,0.464722819845206,295.6699357803728,0.4707040125132339,0.04416933411496133,24.181442106667866,0.18954397489302974,0.008949948922655817,1.2236221698323038,0.20653050285724198,0.31055128765573436,0.008934300110836445,0.3070976506249798,0.010757723453011545,18,17,17,660.6111111111111,610.4117647058823,1.082238497531935,50.199346405228766,29.411764705882355,0.034565623000559924,0.2897697174055221
cauca,habichuela,35,2007,2024,18,1,97.22222222222221,22002.35,628.6385714285714,95.30857142857144,84.5482857142857,7.278536629419602,0.5185191514516491,325.9611386269197,0.44926328593742987,0.22536760033538658,33.27714514478893,0.2953387230948793,0.0007413220331142599,4.835222335898463,0.3613491541956758,0.4050420168067227,0.0006203779967807202,0.43397828637275776,0.00024797816551616137,18,17,17,598.6066666666667,660.4370588235295,0.9063795840484717,-61.830392156862786,47.05882352941176,0.03603372388110425,0.26234410769035965
