departamento,cultivo,n_periodos,anio_inicio,anio_fin,duracion_anios,gaps,completitud_pct,produccion_total,produccion_promedio,area_sembrada_promedio,area_cosechada_promedio,rendimiento_promedio,cv_produccion,std_produccion,cv_area_sembrada,cv_rendimiento,tendencia_produccion_pendiente,tendencia_produccion_r2,tendencia_produccion_pvalue,tendencia_area_pendiente,tendencia_area_r2,mk_tau_produccion,mk_pvalue_produccion,mk_tau_area,mk_pvalue_area,n_periodos_A,n_periodos_B,n_ciclos_completos,produccion_promedio_A,produccion_promedio_B,ratio_AB,diferencia_AB,porcentaje_A_mayor_B,hhi_tiempo_produccion,hhi_espacial_cultivo,escala_cuartiles_prod,es_gran_escala_cuartil,cluster_escala,escala_productiva
atlantico,maiz,35,2007,2024,18,1,97.2222222222222,194894.75,5568.421428571429,4818.185714285714,3787.8785714285714,1.444251625059563,0.4959618941152887,2761.724838946448,0.2720071327807223,0.3610889114423513,327.6838337559125,0.3989414330322474,4.720288892591286e-05,-3.7738164079296537,0.0002349599297311,0.4184873949579831,0.000405993979647,-0.015126050420168,0.898297050215243,18,17,17,6097.263333333333,5008.471176470588,1.2173901213563547,1088.7921568627453,76.47058823529412,0.0353985786237473,0.09355481422716,Q4_gran_escala,1,0,Pequeña
narino,frijol,35,2007,2024,18,1,97.2222222222222,189685.38,5419.582285714286,5518.6254285714285,4987.143142857143,1.114666787532126,0.3083315244418482,1671.0280679923217,0.2970848697588614,0.2117964207700308,-15.441722788132214,0.0024198248769731,0.7789997034205789,-167.1044182494848,0.2943831072873568,-0.0386554621848739,0.7439455285232186,-0.4252100840336134,0.0003269398940245,18,17,17,6002.111666666667,4802.786470588235,1.2497144529374715,1199.325196078432,82.35294117647058,0.0312100597426918,0.0999856046495873,Q4_gran_escala,1,0,Pequeña
norte de santander,frijol,35,2007,2024,18,1,97.2222222222222,186029.55,5315.13,3018.228571428571,2961.944285714286,1.808697233259972,0.127512501657586,677.7455229352854,0.1171070604991343,0.1321185489386463,32.571334311937505,0.0654482003066533,0.1379822474534136,-40.67668253191584,0.3753017275071273,0.146218487394958,0.2166353312001357,-0.3983193277310924,0.0007633879309194,18,17,17,5266.281111111111,5366.852352941176,0.9812606654299052,-100.57124183006454,52.94117647058824,0.0290227109344368,0.0999856046495873,Q4_gran_escala,1,0,Pequeña
cundinamarca,arveja,35,2007,2024,18,1,97.2222222222222,183626.96,5246.484571428571,3108.9357142857148,2910.793714285714,1.80763546343794,0.2373405849584958,1245.2037171585805,0.1870443300968201,0.1859120115513154,27.62066604391859,0.0139427166079764,0.4993163670366392,-69.80357412926472,0.4083218911103944,-0.0554621848739495,0.6393217922234354,-0.3936082132218035,0.0008890490306585,18,17,17,5403.276666666667,5080.469411764706,1.0635388639786798,322.80725490196073,70.58823529411765,0.0301348888254097,0.3037951755849065,Q4_gran_escala,1,0,Pequeña
caqueta,maiz,35,2007,2024,18,1,97.2222222222222,182993.92,5228.397714285714,4393.957142857143,3980.7085714285713,1.366242318561503,0.4537721054525667,2372.501038954816,0.5016863676200176,0.2461595139158031,99.12682502261173,0.0494685855824583,0.1990733795534755,-50.06634491348252,0.0146175794757048,0.1226890756302521,0.2998735756923991,-0.1764705882352941,0.1359220216538575,18,17,17,6422.522222222223,3964.030588235295,1.6201999654804375,2458.4916339869283,82.35294117647058,0.0342864573104923,0.09355481422716,Q4_gran_escala,1,0,Pequeña
valle del cauca,pimenton,35,2007,2024,18,1,97.2222222222222,182126.84,5203.623999999999,316.12428571428575,301.2607142857143,17.19982230196071,0.2771816835802662,1442.349261038679,0.2496176660713011,0.0575556782188214,196.71278294263303,0.5270893187823682,7.97583348092479e-07,9.392535177853892,0.4014756642581312,0.4655462184873949,8.36145204950467e-05,0.3653203830117134,0.0020538530661537,18,17,17,5154.629999999999,5255.5,0.9808067738559604,-100.8700000000008,41.17647058823529,0.0307038443381398,0.2091419586284787,Q4_gran_escala,1,0,Pequeña
cesar,patilla,35,2007,2024,18,1,97.2222222222222,181714.9,5191.854285714286,505.7865714285714,446.82,11.804883864415617,0.5431786817848112,2820.1045669331083,0.5137250469947056,0.1813628219181076,234.60469878267577,0.1961114324166067,0.0077195966632009,12.705400708746652,0.0677548808599038,0.280672268907563,0.0177093767764639,0.1581161198412373,0.1818536831085776,18,17,17,6459.272222222222,3849.8823529411766,1.6777843139252195,2609.3898692810453,94.11764705882352,0.0367603793728542,0.263014574837113,Q4_gran_escala,1,0,Pequeña
risaralda,cebolla de rama,30,2007,2024,18,6,83.33333333333334,178638.48999999996,5954.6163333333325,177.34633333333335,175.30633333333336,33.41874246368281,0.8196247828716255,4880.551119292168,0.8025294419037188,0.2138450168121656,-247.07292376643684,0.0696695222787295,0.158710594620041,-11.640151367806851,0.1818365301788678,0.0920598998491251,0.47537878657305,0.0277461282762545,0.8303420157660484,18,12,12,6937.571111111111,4480.184166666667,1.5485013233892977,2457.3869444444445,41.66666666666667,0.0549797319513593,0.2898795021627748,Q4_gran_escala,1,0,Pequeña
la guajira,ahuyama,35,2007,2024,18,1,97.2222222222222,178395.94999999998,5097.027142857142,792.2114285714287,658.0857142857143,7.323751773903543,0.8941623303426292,4557.569667876775,0.6972982018266275,0.2585838662513603,676.4636893376633,0.6242840955025553,1.6584306022846126e-08,84.31919102056554,0.6602273156040489,0.6504201680672269,3.8860335666800426e-08,0.6560136887030059,3.0400034135703934e-08,18,17,17,3537.327777777778,6748.4735294117645,0.5241670968050921,-3211.1457516339865,5.88235294117647,0.0507623618629615,0.0821380302774234,Q4_gran_escala,1,0,Pequeña
santander,ahuyama,35,2007,2024,18,1,97.2222222222222,166311.48000000004,4751.756571428573,258.95057142857144,233.23342857142856,21.39655898139073,0.5033805586528203,2391.941877507925,0.4266118960984868,0.3002259396083513,107.9501244013464,0.0577171625920516,0.1644858327347243,12.840294174339816,0.3828337345058556,0.1899159663865546,0.1085462309037795,0.3633306583585879,0.0021562739687063,18,17,17,5042.179999999999,4444.249411764707,1.1345402862972689,597.9305882352928,70.58823529411765,0.03560434902221,0.0821380302774234,Q4_gran_escala,1,0,Pequeña
